Player,Class,Pos,School,Conf,Predicted_PER,Predicted_BPM,Predicted_WS40,PER_Percentile_Rank,BPM_Percentile_Rank,WS40_Percentile_Rank
A'lahn Sumler,SO,G,Charleston Southern,Big South Conference,15.672,-1.667,0.079,52.332,18.135,31.088
A.J. Hoggard,SR,G,Michigan State,Big Ten Conference,17.939,5.113,0.146,69.43,66.321,64.767
A.J. Lopez,JR,G,Maine,America East Conference,14.984,-1.091,0.088,50.259,20.725,35.233
A.J. McGinnis,JR,G,Lipscomb,Atlantic Sun Conference,14.593,-1.416,0.088,47.668,19.689,35.233
A.J. Staton-McCray,JR,G,Samford,Southern Conference,23.27,3.582,0.178,95.855,50.259,86.01
A.J. Wills,FR,G,Holy Cross,Patriot League,13.499,-3.446,0.046,44.041,14.508,22.28
AD Diedhiou,JR,F,Louisiana-Monroe,Sun Belt Conference,7.561,-4.618,0.033,20.207,12.953,19.689
AJ Allenspach,JR,F,Army,Patriot League,9.985,-5.998,0.052,26.425,9.845,23.316
AJ Braun,JR,C,Wright State,Horizon League,24.944,1.133,0.148,97.927,30.052,68.394
AJ Brown,SO,G,Ohio,Mid-American Conference,11.28,-2.899,0.067,33.161,15.544,27.461
AJ Burgin,JR,G,Idaho State,Big Sky Conference,10.427,-3.012,0.085,29.016,15.544,35.233
AJ Cajuste,SR,G,Stephen F. Austin,Western Athletic Conference,11.395,-2.565,0.083,33.679,16.58,33.161
AJ Casey,SO,F,Miami (FL),Atlantic Coast Conference,14.087,0.972,0.071,46.114,29.534,28.497
AJ Clark,FR,G,Virginia Military Institute,Southern Conference,9.389,-5.538,0.0,24.352,11.399,10.881
AJ Clayton,JR,F,Ohio,Mid-American Conference,21.429,4.654,0.199,91.192,56.477,90.674
AJ Dancler,FR,G,Le Moyne,Northeast Conference,13.013,-4.704,0.082,39.896,12.953,32.642
AJ Ferguson,JR,G,Southern Illinois,Missouri Valley Conference,14.336,0.438,0.108,46.632,27.461,45.078
AJ George,SO,F,Long Beach State,Big West Conference,16.901,1.155,0.108,59.067,30.052,45.078
AJ Hoynack,SR,G,High Point,Big South Conference,37.402,0.222,0.267,100.0,26.425,99.482
AJ Lesburt Jr.,SO,G,Brown,Ivy League,13.689,-0.958,0.085,45.078,20.725,35.233
AJ Magbegor,FR,F,Howard,Mid-Eastern Athletic Conference,8.523,-8.128,0.031,23.316,7.772,19.689
AJ McKee,JR,G,Queens (NC),Atlantic Sun Conference,20.491,1.219,0.131,85.492,30.052,55.959
AJ Neal,SO,G,Chicago State,Independent,9.134,-4.612,0.069,24.352,12.953,27.979
AJ Redd,SO,G,Illinois,Big Ten Conference,0.432,-9.238,0.0,9.326,6.218,10.881
AJ Robinson,FR,G,Fresno State,Mountain West Conference,-44.544,-39.418,-1.33,0.518,0.518,0.0
AJ Rohosy,SO,F,Washington State,Pac-12 Conference,21.349,7.636,0.364,90.674,92.746,99.482
AJ Shaw,SO,G,Presbyterian,Big South Conference,28.127,-0.682,0.308,99.482,20.725,99.482
AJ Smith,SO,G,The Citadel,Southern Conference,18.842,0.032,0.107,77.72,25.389,44.56
AJ Smith,SO,G,Southern Indiana,Ohio Valley Conference,17.758,-1.736,0.12,65.285,18.135,50.259
AJ Storr,SO,G,Wisconsin,Big Ten Conference,18.057,3.606,0.128,71.503,50.259,53.886
AK Fihla,SO,G,Temple,American Athletic Conference,-9.106,-13.066,0.0,4.145,4.663,10.881
AK Okereke,SO,F,Cornell,Ivy League,17.947,-0.357,0.137,69.948,23.834,58.031
Aa'reyon Jones,FR,G,Coppin State,Mid-Eastern Athletic Conference,5.709,-8.889,-0.007,16.062,6.736,2.591
Aamer Muhammad,SR,G,Troy,Sun Belt Conference,15.085,0.476,0.13,50.259,27.979,55.44
Aanen Moody,SR,G,Montana,Big Sky Conference,19.498,1.381,0.136,80.311,30.57,58.031
Aaron Bradshaw,FR,F,Kentucky,Southeastern Conference,20.434,3.498,0.149,85.492,48.705,68.394
Aaron Cash,SR,G,UT Arlington,Western Athletic Conference,15.801,1.716,0.124,52.85,33.679,53.368
Aaron Clark,FR,G,Wake Forest,Atlantic Coast Conference,-0.966,-5.365,-0.222,7.772,11.399,1.554
Aaron Clarke,SR,G,Stony Brook,Coastal Athletic Association,16.512,-0.216,0.101,56.477,25.389,40.933
Aaron Cooley,JR,G,Brown,Ivy League,10.829,-3.1,0.058,31.088,15.544,24.87
Aaron Davis,FR,G,Bryant,America East Conference,5.599,-14.895,-0.16,15.026,4.663,2.073
Aaron Deloney,SR,G,Vermont,America East Conference,17.752,0.42,0.162,65.285,26.943,73.575
Aaron Estrada,SR,G,Alabama,Southeastern Conference,19.955,6.185,0.143,83.938,77.202,63.731
Aaron Franklin,SO,G,Milwaukee,Horizon League,16.774,0.11,0.092,58.549,25.907,35.751
Aaron Gray,JR,G,Indiana State,Missouri Valley Conference,5.719,-6.602,0.0,16.062,8.808,10.881
Aaron Harden,SO,F,Texas A&M-Corpus Christi,Southland Conference,12.767,-6.127,0.087,37.306,9.326,35.233
Aaron Humphrey Jr.,FR,F,Saint Francis (PA),Northeast Conference,9.074,-6.836,0.121,24.352,8.29,50.777
Aaron McBride,FR,F,Loyola Marymount,West Coast Conference,17.009,1.491,0.139,61.14,31.088,60.622
Aaron Oh,SO,G,Georgia State,Sun Belt Conference,-4.445,-8.944,0.0,4.663,6.218,10.881
Aaron Price Jr.,SO,F,Cal Poly,Big West Conference,5.075,-7.42,0.007,14.508,8.29,18.653
Aaron Reddish,JR,F,Albany (NY),America East Conference,13.794,-2.396,0.086,45.078,16.58,35.233
Aaron Scott,JR,G,North Texas,American Athletic Conference,18.573,4.59,0.155,75.13,56.477,72.021
Aaron Talbert,FR,G,Saint Francis (PA),Northeast Conference,9.949,-5.511,0.034,26.425,11.399,20.207
Abdi Bashir Jr.,FR,G,Monmouth,Coastal Athletic Association,11.097,-3.898,0.037,31.088,13.99,21.244
Abdou Samb,SO,F,IUPUI,Horizon League,15.464,-4.558,0.056,52.332,12.953,23.834
Abdou Tsimbila,SR,F,Fordham,Atlantic 10 Conference,20.36,3.607,0.137,85.492,50.259,58.031
Abdoul Karim Coulibaly,SR,F,Massachusetts-Lowell,America East Conference,24.69,1.519,0.182,96.891,31.606,87.565
Abdoulaye Thiam,JR,G,High Point,Big South Conference,17.762,-0.65,0.12,65.285,20.725,50.777
Abdul Momoh,JR,F,Central Connecticut State,Northeast Conference,19.618,-0.984,0.168,80.311,20.725,77.72
Abdullah Olajuwon,FR,G,Detroit Mercy,Horizon League,9.34,-6.86,0.0,24.352,8.29,10.881
Abe Atiyeh,SR,G,Boston College,Atlantic Coast Conference,11.663,-7.742,0.0,34.197,7.772,10.881
Abe Johnson,SR,F,Army,Patriot League,19.416,-0.744,0.166,80.311,20.725,75.13
